tanggal,produk,kota,harga_satuan,jumlah
2025-06-13,Teh Tarik,Bandung,12000,1
20/05/2025,Teh Tarik,Jakarta,12000,
2025-02-20,Croissant, Surabaya ,22000,4
2025-06-28,Croissant,Bandung,22000,6
2025-01-25,Mie Ayam,Jakarta,20000,6
2025-04-07,Teh Tarik,Medan,12000,5
2025-01-18,Kopi Susu,Jakarta,18000,4
2025-04-27,Mie Ayam,Bandung,20000,3
2025-01-19,Roti Bakar,Yogyakarta,15000,4
2025-02-26,Mie Ayam,Jakarta,20000,1
2025-05-26,Mie Ayam,Yogyakarta,20000,4
2025-02-05,Nasi Goreng,Yogyakarta,25000,5
2025-02-05,Smoothie Bowl,Jakarta,35000,2
2025-06-02,Teh Tarik,Yogyakarta,12000,7
2025-01-03,Teh Tarik,Surabaya,12000,5
2025-03-09,Roti Bakar,Surabaya,15000,2
2025-04-06,Roti Bakar,YOGYAKARTA,15000,1
2025-03-20,Nasi Goreng,Medan,25000,1
2025-01-18,Roti Bakar,Medan,15000,3
2025-02-24,Nasi Goreng,Surabaya,25000,5
27/02/2025,Teh Tarik,Medan,12000,6
11/06/2025,Kopi Susu,Jakarta,18000,4
2025-06-21,Smoothie Bowl,Medan,35000,4
15/04/2025,Nasi Goreng,Yogyakarta,25000,2
2025-01-14,Teh Tarik,Surabaya,12000,1
2025-05-18,Smoothie Bowl,Surabaya,35000,3
2025-05-21,Teh Tarik,Medan,12000,1
2025-03-02,Roti Bakar,Bandung,15000,7
2025-01-01,Croissant,Yogyakarta,22000,5
2025-05-23,Smoothie Bowl,Bandung,35000,3
2025-03-22,Kopi Susu,Medan,18000,
11/05/2025,Teh Tarik,Jakarta,12000,3
2025-05-26,Nasi Goreng,Yogyakarta,25000,1
2025-03-08,Nasi Goreng,Yogyakarta,25000,6
2025-01-19,Kopi Susu,Medan,18000,8
2025-03-09,Roti Bakar,Bandung,15000,6
2025-06-30,Es Jeruk,Medan,10000,1
2025-02-04,Es Jeruk,Medan,10000,2
2025-03-29,Nasi Goreng,Surabaya,25000,5
19/04/2025,Es Jeruk,Bandung,10000,1
22/05/2025,Croissant,Bandung,22000,1
07/02/2025,Croissant,Surabaya,22000,3
2025-04-02,Nasi Goreng,Surabaya,25000,4
2025-06-08,Roti Bakar, Bandung ,15000,4
2025-03-27,Croissant, Jakarta ,22000,4
2025-02-21,Smoothie Bowl,Bandung,35000,6
2025-03-13,Teh Tarik,Medan,12000,5
2025-01-08,Teh Tarik,SURABAYA,12000,5
2025-03-22,Croissant, Medan ,22000,2
2025-05-14,Nasi Goreng,Surabaya,25000,6
2025-03-18,Es Jeruk,Surabaya,10000,7
2025-04-08,Roti Bakar,Jakarta,15000,5
2025-06-05,Mie Ayam,Bandung,20000,8
2025-02-13,Teh Tarik,Medan,12000,5
2025-06-22,Es Jeruk,BANDUNG,10000,4
2025-01-19,Smoothie Bowl,Medan,35000,7
2025-03-04,Roti Bakar,Jakarta,15000,1
2025-06-28,Smoothie Bowl,Jakarta,35000,1
2025-05-24,Mie Ayam,Medan,20000,8
2025-02-10,Smoothie Bowl,Bandung,35000,8
2025-05-05,Nasi Goreng,Surabaya,25000,5
2025-01-21,Roti Bakar,Bandung,15000,3
19/05/2025,Smoothie Bowl,Yogyakarta,35000,7
06/01/2025,Croissant,Surabaya,22000,8
2025-04-18,Nasi Goreng,Yogyakarta,25000,8
2025-04-14,Roti Bakar,Medan,15000,8
2025-06-19,Kopi Susu,Bandung,18000,2
2025-03-25,Nasi Goreng,Yogyakarta,25000,8
2025-01-21,Smoothie Bowl,Jakarta,35000,1
2025-06-16,Kopi Susu,Bandung,18000,1
2025-05-02,Teh Tarik,Surabaya,12000,4
30/01/2025,Roti Bakar,Jakarta,15000,5
07/04/2025,Croissant,Bandung,22000,4
2025-06-03,Teh Tarik,Yogyakarta,12000,1
04/01/2025,Croissant,Surabaya,22000,8
2025-04-22,Roti Bakar,Medan,15000,5
2025-06-01,Es Jeruk,Jakarta,10000,6
26/05/2025,Croissant,Surabaya,22000,6
2025-03-29,Es Jeruk,Medan,10000,5
2025-05-06,Nasi Goreng, Yogyakarta ,25000,8
2025-04-14,Nasi Goreng,Surabaya,25000,5
2025-05-21,Mie Ayam,Surabaya,20000,6
