tanggal,produk,kota,harga_satuan,jumlah,pendapatan
2025-06-13,Teh Tarik,Bandung,12000,1,12000
2025-05-20,Teh Tarik,Jakarta,12000,5,60000
2025-02-20,Croissant,Surabaya,22000,4,88000
2025-06-28,Croissant,Bandung,22000,6,132000
2025-01-25,Mie Ayam,Jakarta,20000,6,120000
2025-07-04,Teh Tarik,Medan,12000,5,60000
2025-01-18,Kopi Susu,Jakarta,18000,4,72000
2025-04-27,Mie Ayam,Bandung,20000,3,60000
2025-01-19,Roti Bakar,Yogyakarta,15000,4,60000
2025-02-26,Mie Ayam,Jakarta,20000,1,20000
2025-05-26,Mie Ayam,Yogyakarta,20000,4,80000
2025-05-02,Nasi Goreng,Yogyakarta,25000,5,125000
2025-05-02,Smoothie Bowl,Jakarta,35000,2,70000
2025-02-06,Teh Tarik,Yogyakarta,12000,7,84000
2025-03-01,Teh Tarik,Surabaya,12000,5,60000
2025-09-03,Roti Bakar,Surabaya,15000,2,30000
2025-06-04,Roti Bakar,Yogyakarta,15000,1,15000
2025-03-20,Nasi Goreng,Medan,25000,1,25000
2025-01-18,Roti Bakar,Medan,15000,3,45000
2025-02-24,Nasi Goreng,Surabaya,25000,5,125000
2025-02-27,Teh Tarik,Medan,12000,6,72000
2025-06-11,Kopi Susu,Jakarta,18000,4,72000
2025-06-21,Smoothie Bowl,Medan,35000,4,140000
2025-04-15,Nasi Goreng,Yogyakarta,25000,2,50000
2025-01-14,Teh Tarik,Surabaya,12000,1,12000
2025-05-18,Smoothie Bowl,Surabaya,35000,3,105000
2025-05-21,Teh Tarik,Medan,12000,1,12000
2025-02-03,Roti Bakar,Bandung,15000,7,105000
2025-01-01,Croissant,Yogyakarta,22000,5,110000
2025-05-23,Smoothie Bowl,Bandung,35000,3,105000
2025-03-22,Kopi Susu,Medan,18000,5,90000
2025-05-11,Teh Tarik,Jakarta,12000,3,36000
2025-05-26,Nasi Goreng,Yogyakarta,25000,1,25000
2025-08-03,Nasi Goreng,Yogyakarta,25000,6,150000
2025-01-19,Kopi Susu,Medan,18000,8,144000
2025-09-03,Roti Bakar,Bandung,15000,6,90000
2025-06-30,Es Jeruk,Medan,10000,1,10000
2025-04-02,Es Jeruk,Medan,10000,2,20000
2025-03-29,Nasi Goreng,Surabaya,25000,5,125000
2025-04-19,Es Jeruk,Bandung,10000,1,10000
2025-05-22,Croissant,Bandung,22000,1,22000
2025-02-07,Croissant,Surabaya,22000,3,66000
2025-02-04,Nasi Goreng,Surabaya,25000,4,100000
2025-08-06,Roti Bakar,Bandung,15000,4,60000
2025-03-27,Croissant,Jakarta,22000,4,88000
2025-02-21,Smoothie Bowl,Bandung,35000,6,210000
2025-03-13,Teh Tarik,Medan,12000,5,60000
2025-08-01,Teh Tarik,Surabaya,12000,5,60000
2025-03-22,Croissant,Medan,22000,2,44000
2025-05-14,Nasi Goreng,Surabaya,25000,6,150000
2025-03-18,Es Jeruk,Surabaya,10000,7,70000
2025-08-04,Roti Bakar,Jakarta,15000,5,75000
2025-05-06,Mie Ayam,Bandung,20000,8,160000
2025-02-13,Teh Tarik,Medan,12000,5,60000
2025-06-22,Es Jeruk,Bandung,10000,4,40000
2025-01-19,Smoothie Bowl,Medan,35000,7,245000
2025-04-03,Roti Bakar,Jakarta,15000,1,15000
2025-06-28,Smoothie Bowl,Jakarta,35000,1,35000
2025-05-24,Mie Ayam,Medan,20000,8,160000
2025-10-02,Smoothie Bowl,Bandung,35000,8,280000
2025-05-05,Nasi Goreng,Surabaya,25000,5,125000
2025-01-21,Roti Bakar,Bandung,15000,3,45000
2025-05-19,Smoothie Bowl,Yogyakarta,35000,7,245000
2025-01-06,Croissant,Surabaya,22000,8,176000
2025-04-18,Nasi Goreng,Yogyakarta,25000,8,200000
2025-04-14,Roti Bakar,Medan,15000,8,120000
2025-06-19,Kopi Susu,Bandung,18000,2,36000
2025-03-25,Nasi Goreng,Yogyakarta,25000,8,200000
2025-01-21,Smoothie Bowl,Jakarta,35000,1,35000
2025-06-16,Kopi Susu,Bandung,18000,1,18000
2025-02-05,Teh Tarik,Surabaya,12000,4,48000
2025-01-30,Roti Bakar,Jakarta,15000,5,75000
2025-04-07,Croissant,Bandung,22000,4,88000
2025-03-06,Teh Tarik,Yogyakarta,12000,1,12000
2025-01-04,Croissant,Surabaya,22000,8,176000
2025-04-22,Roti Bakar,Medan,15000,5,75000
2025-01-06,Es Jeruk,Jakarta,10000,6,60000
2025-05-26,Croissant,Surabaya,22000,6,132000
2025-03-29,Es Jeruk,Medan,10000,5,50000
2025-06-05,Nasi Goreng,Yogyakarta,25000,8,200000
2025-04-14,Nasi Goreng,Surabaya,25000,5,125000
2025-05-21,Mie Ayam,Surabaya,20000,6,120000
2025-03-22,Teh Tarik,Yogyakarta,12000,3,36000
2025-02-06,Es Jeruk,Surabaya,10000,5,50000
2025-05-17,Roti Bakar,Jakarta,15000,5,75000
2025-06-05,Teh Tarik,Yogyakarta,12000,1,12000
2025-06-03,Smoothie Bowl,Yogyakarta,35000,2,70000
2025-02-08,Roti Bakar,Bandung,15000,5,75000
2025-08-06,Nasi Goreng,Yogyakarta,25000,7,175000
2025-05-26,Kopi Susu,Bandung,18000,2,36000
2025-03-03,Roti Bakar,Yogyakarta,15000,2,30000
2025-01-03,Es Jeruk,Yogyakarta,10000,5,50000
2025-06-10,Nasi Goreng,Bandung,25000,7,175000
2025-01-19,Kopi Susu,Medan,18000,3,54000
2025-01-02,Smoothie Bowl,Surabaya,35000,5,175000
2025-11-01,Croissant,Jakarta,22000,6,132000
2025-05-28,Kopi Susu,Bandung,18000,5,90000
2025-02-16,Croissant,Yogyakarta,22000,8,176000
2025-11-02,Mie Ayam,Surabaya,20000,7,140000
2025-10-01,Smoothie Bowl,Surabaya,35000,2,70000
2025-01-01,Smoothie Bowl,Medan,35000,7,245000
2025-01-14,Nasi Goreng,Surabaya,25000,5,125000
2025-11-06,Nasi Goreng,Jakarta,25000,3,75000
2025-01-30,Smoothie Bowl,Bandung,35000,2,70000
2025-11-03,Croissant,Bandung,22000,8,176000
2025-03-06,Roti Bakar,Yogyakarta,15000,2,30000
2025-01-01,Es Jeruk,Medan,10000,5,50000
2025-05-18,Smoothie Bowl,Medan,35000,6,210000
2025-06-28,Nasi Goreng,Yogyakarta,25000,7,175000
2025-08-04,Croissant,Jakarta,22000,3,66000
2025-01-26,Smoothie Bowl,Yogyakarta,35000,2,70000
2025-09-02,Teh Tarik,Surabaya,12000,8,96000
2025-03-26,Croissant,Yogyakarta,22000,6,132000
2025-11-06,Es Jeruk,Yogyakarta,10000,4,40000
2025-01-26,Smoothie Bowl,Jakarta,35000,3,105000
2025-06-04,Croissant,Yogyakarta,22000,3,66000
2025-01-21,Croissant,Medan,22000,4,88000
2025-07-03,Kopi Susu,Medan,18000,8,144000
2025-05-31,Es Jeruk,Yogyakarta,10000,7,70000
2025-04-05,Teh Tarik,Surabaya,12000,4,48000
2025-06-18,Croissant,Jakarta,22000,5,110000
2025-03-15,Nasi Goreng,Bandung,25000,6,150000
2025-06-18,Roti Bakar,Jakarta,15000,2,30000
2025-03-02,Teh Tarik,Yogyakarta,12000,5,60000
2025-04-04,Es Jeruk,Yogyakarta,10000,3,30000
2025-01-30,Smoothie Bowl,Bandung,35000,2,70000
2025-05-23,Mie Ayam,Jakarta,20000,2,40000
2025-06-22,Es Jeruk,Surabaya,10000,5,50000
2025-05-24,Mie Ayam,Yogyakarta,20000,4,80000
2025-05-02,Kopi Susu,Yogyakarta,18000,1,18000
2025-10-04,Smoothie Bowl,Medan,35000,6,210000
2025-04-17,Teh Tarik,Surabaya,12000,8,96000
2025-02-03,Mie Ayam,Surabaya,20000,2,40000
2025-12-04,Es Jeruk,Yogyakarta,10000,4,40000
2025-06-01,Kopi Susu,Bandung,18000,6,108000
2025-05-22,Nasi Goreng,Bandung,25000,4,100000
2025-01-01,Es Jeruk,Medan,10000,3,30000
2025-07-01,Roti Bakar,Bandung,15000,1,15000
2025-02-02,Croissant,Yogyakarta,22000,2,44000
2025-04-26,Nasi Goreng,Medan,25000,5,125000
2025-03-05,Croissant,Yogyakarta,22000,7,154000
2025-03-24,Roti Bakar,Medan,15000,2,30000
2025-02-06,Es Jeruk,Yogyakarta,10000,8,80000
2025-06-16,Nasi Goreng,Bandung,25000,7,175000
2025-01-25,Mie Ayam,Surabaya,20000,7,140000
2025-01-18,Teh Tarik,Jakarta,12000,2,24000
2025-01-16,Mie Ayam,Yogyakarta,20000,2,40000
2025-06-03,Es Jeruk,Medan,10000,6,60000
2025-01-28,Mie Ayam,Surabaya,20000,6,120000
2025-06-09,Kopi Susu,Surabaya,18000,5,90000
2025-02-01,Roti Bakar,Yogyakarta,15000,3,45000
2025-01-24,Nasi Goreng,Surabaya,25000,7,175000
2025-05-26,Teh Tarik,Medan,12000,1,12000
2025-04-19,Smoothie Bowl,Bandung,35000,8,280000
2025-03-14,Smoothie Bowl,Yogyakarta,35000,5,175000
2025-02-24,Roti Bakar,Jakarta,15000,5,75000
2025-04-08,Nasi Goreng,Jakarta,25000,6,150000
2025-03-22,Croissant,Yogyakarta,22000,7,154000
2025-02-13,Smoothie Bowl,Jakarta,35000,6,210000
2025-12-04,Es Jeruk,Bandung,10000,6,60000
2025-02-19,Mie Ayam,Bandung,20000,6,120000
2025-04-06,Roti Bakar,Yogyakarta,15000,2,30000
2025-06-24,Mie Ayam,Jakarta,20000,6,120000
2025-01-06,Kopi Susu,Surabaya,18000,6,108000
2025-03-15,Teh Tarik,Medan,12000,2,24000
2025-11-01,Smoothie Bowl,Yogyakarta,35000,4,140000
2025-03-29,Teh Tarik,Yogyakarta,12000,3,36000
2025-04-04,Mie Ayam,Surabaya,20000,5,100000
2025-03-27,Teh Tarik,Yogyakarta,12000,6,72000
2025-06-04,Roti Bakar,Bandung,15000,6,90000
2025-06-19,Croissant,Jakarta,22000,3,66000
2025-02-02,Teh Tarik,Jakarta,12000,7,84000
2025-05-05,Nasi Goreng,Bandung,25000,4,100000
2025-05-19,Kopi Susu,Medan,18000,6,108000
2025-06-27,Roti Bakar,Surabaya,15000,8,120000
2025-03-14,Smoothie Bowl,Surabaya,35000,4,140000
2025-02-19,Mie Ayam,Surabaya,20000,8,160000
2025-11-02,Nasi Goreng,Jakarta,25000,3,75000
2025-01-27,Teh Tarik,Bandung,12000,5,60000
2025-04-22,Teh Tarik,Surabaya,12000,4,48000
2025-06-04,Nasi Goreng,Surabaya,25000,7,175000
2025-06-16,Mie Ayam,Surabaya,20000,3,60000
2025-06-30,Smoothie Bowl,Jakarta,35000,8,280000
2025-05-06,Croissant,Bandung,22000,2,44000
2025-06-09,Smoothie Bowl,Yogyakarta,35000,2,70000
2025-03-03,Roti Bakar,Medan,15000,5,75000
2025-06-21,Teh Tarik,Medan,12000,6,72000
2025-01-06,Croissant,Yogyakarta,22000,5,110000
2025-01-18,Mie Ayam,Jakarta,20000,4,80000
2025-12-01,Mie Ayam,Bandung,20000,6,120000
2025-05-03,Roti Bakar,Yogyakarta,15000,3,45000
2025-11-01,Mie Ayam,Medan,20000,5,100000
2025-03-15,Mie Ayam,Surabaya,20000,1,20000
2025-04-13,Smoothie Bowl,Bandung,35000,7,245000
2025-05-13,Es Jeruk,Jakarta,10000,2,20000
2025-03-17,Mie Ayam,Surabaya,20000,2,40000
2025-06-26,Smoothie Bowl,Surabaya,35000,6,210000
2025-01-15,Teh Tarik,Bandung,12000,7,84000
2025-04-23,Kopi Susu,Surabaya,18000,5,90000
2025-09-02,Smoothie Bowl,Jakarta,35000,6,210000
2025-06-16,Es Jeruk,Jakarta,10000,4,40000
2025-05-24,Teh Tarik,Yogyakarta,12000,5,60000
2025-05-06,Nasi Goreng,Jakarta,25000,2,50000
2025-01-23,Mie Ayam,Medan,20000,6,120000
2025-06-29,Roti Bakar,Jakarta,15000,6,90000
2025-07-05,Kopi Susu,Surabaya,18000,6,108000
2025-01-23,Teh Tarik,Yogyakarta,12000,5,60000
2025-01-19,Roti Bakar,Yogyakarta,15000,6,90000
2025-05-22,Roti Bakar,Jakarta,15000,3,45000
2025-11-02,Mie Ayam,Medan,20000,4,80000
2025-12-06,Es Jeruk,Medan,10000,3,30000
2025-05-29,Roti Bakar,Medan,15000,5,75000
2025-08-01,Teh Tarik,Medan,12000,1,12000
2025-08-06,Kopi Susu,Medan,18000,8,144000
2025-06-25,Croissant,Jakarta,22000,5,110000
2025-03-29,Roti Bakar,Surabaya,15000,6,90000
2025-03-02,Mie Ayam,Yogyakarta,20000,2,40000
2025-01-13,Es Jeruk,Yogyakarta,10000,7,70000
2025-03-25,Mie Ayam,Yogyakarta,20000,4,80000
2025-08-05,Kopi Susu,Medan,18000,2,36000
2025-01-13,Kopi Susu,Yogyakarta,18000,5,90000
2025-04-02,Es Jeruk,Surabaya,10000,6,60000
2025-03-04,Es Jeruk,Yogyakarta,10000,2,20000
2025-06-24,Teh Tarik,Yogyakarta,12000,3,36000
2025-04-04,Roti Bakar,Yogyakarta,15000,4,60000
2025-03-27,Smoothie Bowl,Medan,35000,8,280000
2025-11-04,Es Jeruk,Medan,10000,6,60000
2025-05-01,Mie Ayam,Yogyakarta,20000,6,120000
2025-06-26,Kopi Susu,Medan,18000,8,144000
2025-02-13,Croissant,Bandung,22000,3,66000
2025-05-01,Smoothie Bowl,Yogyakarta,35000,6,210000
2025-01-05,Kopi Susu,Medan,18000,3,54000
2025-03-22,Roti Bakar,Surabaya,15000,8,120000
2025-06-24,Es Jeruk,Bandung,10000,8,80000
2025-03-18,Es Jeruk,Yogyakarta,10000,4,40000
2025-12-03,Es Jeruk,Medan,10000,2,20000
2025-07-02,Es Jeruk,Jakarta,10000,1,10000
2025-03-05,Nasi Goreng,Surabaya,25000,4,100000
2025-06-07,Nasi Goreng,Medan,25000,4,100000
2025-03-26,Smoothie Bowl,Bandung,35000,2,70000
2025-04-15,Smoothie Bowl,Surabaya,35000,8,280000
2025-01-23,Nasi Goreng,Bandung,25000,1,25000
2025-10-01,Croissant,Surabaya,22000,8,176000
2025-01-28,Mie Ayam,Medan,20000,5,100000
2025-10-05,Smoothie Bowl,Jakarta,35000,5,175000
2025-02-17,Kopi Susu,Medan,18000,6,108000
2025-06-13,Croissant,Jakarta,22000,7,154000
2025-05-03,Mie Ayam,Yogyakarta,20000,4,80000
2025-03-19,Kopi Susu,Bandung,18000,5,90000
2025-04-14,Es Jeruk,Surabaya,10000,2,20000
2025-03-05,Roti Bakar,Medan,15000,8,120000
2025-05-18,Nasi Goreng,Medan,25000,4,100000
2025-06-30,Mie Ayam,Jakarta,20000,2,40000
2025-05-27,Roti Bakar,Medan,15000,3,45000
2025-06-05,Teh Tarik,Yogyakarta,12000,8,96000
2025-05-24,Smoothie Bowl,Yogyakarta,35000,5,175000
2025-01-19,Kopi Susu,Jakarta,18000,7,126000
2025-01-05,Kopi Susu,Bandung,18000,5,90000
2025-04-18,Mie Ayam,Yogyakarta,20000,7,140000
2025-05-19,Roti Bakar,Medan,15000,6,90000
2025-01-01,Kopi Susu,Medan,18000,5,90000
2025-04-28,Mie Ayam,Jakarta,20000,3,60000
2025-01-05,Nasi Goreng,Medan,25000,4,100000
2025-01-13,Nasi Goreng,Bandung,25000,1,25000
2025-05-02,Es Jeruk,Medan,10000,4,40000
2025-03-24,Nasi Goreng,Medan,25000,5,125000
2025-01-06,Roti Bakar,Jakarta,15000,7,105000
2025-05-15,Mie Ayam,Surabaya,20000,7,140000
2025-02-27,Es Jeruk,Jakarta,10000,3,30000
2025-04-02,Croissant,Surabaya,22000,4,88000
2025-01-24,Nasi Goreng,Medan,25000,1,25000
2025-05-31,Nasi Goreng,Surabaya,25000,8,200000
2025-02-18,Teh Tarik,Medan,12000,8,96000
2025-03-24,Es Jeruk,Surabaya,10000,7,70000
2025-04-30,Teh Tarik,Surabaya,12000,8,96000
2025-05-25,Nasi Goreng,Medan,25000,3,75000
2025-09-02,Nasi Goreng,Medan,25000,6,150000
2025-06-25,Mie Ayam,Yogyakarta,20000,5,100000
2025-02-13,Mie Ayam,Medan,20000,3,60000
2025-06-14,Kopi Susu,Jakarta,18000,1,18000
2025-04-16,Roti Bakar,Bandung,15000,4,60000
2025-06-08,Smoothie Bowl,Medan,35000,8,280000
2025-12-03,Es Jeruk,Yogyakarta,10000,1,10000
2025-01-25,Roti Bakar,Medan,15000,4,60000
2025-01-21,Mie Ayam,Bandung,20000,7,140000
2025-01-21,Kopi Susu,Yogyakarta,18000,5,90000
2025-02-13,Teh Tarik,Surabaya,12000,8,96000
2025-05-16,Kopi Susu,Medan,18000,4,72000
2025-03-13,Kopi Susu,Surabaya,18000,3,54000
2025-12-04,Teh Tarik,Bandung,12000,5,60000
2025-05-19,Mie Ayam,Bandung,20000,7,140000
